Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,
,,,,,,,,,,,,,,,,,,
https://media-exp1.licdn.com/dms/image/C4D22AQE_U1LUc5Tsww/feedshare-shrink_800/0/1620395890163?e=1646870400&v=beta&t=e5T-nOHJSrBTKQVHrUBMeGb5EONfjX6DuowvliyIw3s,1,['anger: VERY_UNLIKELY', 'joy: UNLIKELY', 'surprise: VERY_UNLIKELY', 'Sorrow: VERY_UNLIKELY'], ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
https://media-exp1.licdn.com/dms/image/C4D22AQEkpFq3hE9Jew/feedshare-shrink_800/0/1631620822282?e=1646870400&v=beta&t=I5cmmyzgrahyYrCjC2ca42lYAQfa36265DhkrovY2vo,1,['anger: VERY_UNLIKELY', 'joy: VERY_LIKELY', 'surprise: VERY_UNLIKELY', 'Sorrow: VERY_UNLIKELY'], ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
https://media-exp1.licdn.com/dms/image/C4D22AQEVTZ2-CXTS5w/feedshare-shrink_800/0/1617112807179?e=1646870400&v=beta&t=IBZULcyd9WXiVB_6giCRTUcBKjuHcwizC4izuMJj2m0,1,['anger: VERY_UNLIKELY', 'joy: VERY_LIKELY', 'surprise: VERY_UNLIKELY', 'Sorrow: VERY_UNLIKELY'], ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
https://media-exp1.licdn.com/dms/image/C4D22AQFLKsjDz3bqAA/feedshare-shrink_800/0/1623333556797?e=1646870400&v=beta&t=gMBDCQdQJ7ykfQY8L7nMEb4Fdb1h2bcN_pTeNbtBMYs,1,['anger: VERY_UNLIKELY', 'joy: VERY_LIKELY', 'surprise: VERY_UNLIKELY', 'Sorrow: VERY_UNLIKELY'], ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
https://media-exp1.licdn.com/dms/image/sync/C4D27AQG72ppanto10w/articleshare-shrink_1280_800/0/1643694864579?e=1644163200&v=beta&t=njcfjigf-LDhOOwHsKoTLGvCfK1lLbqmzOFKf7JQj_E,,Not Accessible,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
https://media-exp1.licdn.com/dms/image/C4E05AQHnOymowOl8vg/videocover-low/0/1642572055860?e=1644163200&v=beta&t=Yy2k5fuEUr2tJwWPhWTkGcRT29b27U3fRtARXkajzZY,,Not Accessible,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
https://media-exp1.licdn.com/dms/image/C4D22AQGVD81V7gKGRg/feedshare-shrink_800/0/1621339208827?e=1646870400&v=beta&t=LhasEXnxb_crPLv5htvSdoXTGAeWHXhxGXKSYcG525k,1,['anger: VERY_UNLIKELY', 'joy: VERY_LIKELY', 'surprise: VERY_UNLIKELY', 'Sorrow: VERY_UNLIKELY'], ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
https://media-exp1.licdn.com/dms/image/C4E22AQGePob7VgEAhw/feedshare-shrink_800/0/1615105852456?e=1646870400&v=beta&t=jlg0K8DMuB7ea-8WwgcvxEHB6AksGL41Q3vJGRs2BWc,1,['anger: VERY_UNLIKELY', 'joy: VERY_LIKELY', 'surprise: VERY_UNLIKELY', 'Sorrow: VERY_UNLIKELY'], ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
https://media-exp1.licdn.com/dms/image/C4D22AQGqJ5sDd19uZQ/feedshare-shrink_800/0/1617105583791?e=1646870400&v=beta&t=BW7gJjmWjCpJZp5qjYVQdAz3nG9lfSx5WDUiKnKOqKw,1,['anger: VERY_UNLIKELY', 'joy: VERY_LIKELY', 'surprise: VERY_UNLIKELY', 'Sorrow: VERY_UNLIKELY'], ,,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,,
https://media-exp1.licdn.com/dms/image/C4D22AQHxt0uesZPEGg/feedshare-shrink_800/0/1622296805989?e=1646870400&v=beta&t=BqcqnP6Tw3ztApcHsCl32gWP8Xe9RP_QbEDLGCKwNTQ,1,['anger: VERY_UNLIKELY', 'joy: VERY_LIKELY', 'surprise: VERY_UNLIKELY', 'Sorrow: VERY_UNLIKELY'],,,,,,,,,,,,,
